,lon,lat,t_sea_snake,wspd_sonic,decimal_day_of_year
0,78.499999,-7.850447,27.5927,16.568455,253.71528
1,80.508797,0.119353,29.8439,15.173398,328.43056
2,80.5088,0.119356,29.8211,15.14847,328.4375
3,80.50879,0.119358,29.820375,15.36788,328.45139
4,80.5088,0.119379,29.786889,16.52217,328.45833
5,80.508786,0.119384,29.7704,17.191586,328.46528
6,80.508787,0.119363,29.7643,17.655344,328.47222
7,80.50882,0.119391,29.7269,18.30058,328.47917
8,80.508799,0.11938,29.711909,17.857193,328.48611
9,80.50904,0.119466,29.755875,16.970975,328.49306
10,80.509895,0.119713,29.750444,15.09259,328.5
11,80.510096,0.119717,29.744545,15.168658,328.51389
12,80.511524,0.120248,29.734182,15.033091,328.52778
13,80.502809,0.119886,29.598333,15.36696,328.79167
14,80.500322,0.119708,29.5498,16.791317,328.84722
15,80.499906,0.119733,29.5562,15.856224,328.85417
16,80.499302,0.11981,29.553455,15.369123,328.86111
17,80.58585,0.124555,29.4845,16.673206,329.1875
18,80.585989,0.12457,29.455909,16.308437,329.19444
19,80.586123,0.12446,29.4198,15.741154,329.47917
20,80.586132,0.124476,29.428455,15.239704,329.48611
21,80.586153,0.124469,29.40725,15.443677,329.49306
22,81.126755,0.297422,28.78975,16.469593,356.07639
23,81.125768,0.297882,28.770889,19.472909,356.08333
24,81.126408,0.296496,28.7122,20.476622,356.09722
25,81.125976,0.296774,28.6743,20.692155,356.10417
26,81.126369,0.296789,28.735636,19.17545,356.11111
27,81.127233,0.297278,28.75375,17.059067,356.11806
28,81.127846,0.298835,28.772889,16.668743,356.125
29,81.128581,0.299516,28.7744,16.588085,356.13194
30,81.129595,0.300471,28.766818,15.349644,356.13889
31,81.131076,0.301825,28.7841,15.09348,356.14583
32,81.13226,0.302647,28.778818,16.098383,356.15278
33,81.133882,0.3033,28.7785,15.553751,356.15972
34,81.136275,0.303866,28.784333,16.863862,356.16667
35,81.139162,0.303955,28.7946,15.483973,356.17361
36,81.140298,0.305195,28.7994,15.488685,356.18056
37,81.141469,0.306578,28.7902,15.319166,356.1875
38,81.142749,0.307597,28.798636,15.621884,356.19444
39,81.145986,0.308064,28.826556,15.333498,356.20833
40,81.150531,0.308377,28.812,15.774429,356.21528
41,81.151516,0.313099,28.8193,15.463662,356.22222
42,81.155366,0.314798,28.8399,15.387122,356.22917
43,81.159913,0.314254,28.834545,15.379564,356.23611
44,81.164128,0.317503,28.8014,15.237856,356.25694
45,81.166229,0.31841,28.817273,15.01648,356.26389
46,81.168158,0.31856,28.8098,15.059311,356.27083
